Episode,Reward,Length,Success_Rate,Epsilon,Loss
0,-26.400000000000002,18,25.0,0.999802,0.0
1,-11.400000000000002,20,0.0,0.9996039999999999,0.0
2,-0.09999999999999964,5,5.0,0.9994059999999999,0.0
3,-35.6,12,5.0,0.9992079999999999,0.0
4,-36.400000000000006,20,10.0,0.9990099999999998,0.0
5,15.0,1,10.0,0.9988119999999998,0.0
6,-26.5,19,15.0,0.9986139999999998,0.0
7,-20.699999999999996,10,15.0,0.9984159999999997,0.0
8,-10.900000000000006,15,10.0,0.9982179999999997,0.0
9,-15.4,6,0.0,0.9980199999999997,0.0
10,-6.200000000000006,17,10.0,0.9978219999999997,0.0
11,-42.60000000000003,33,20.0,0.9976239999999996,0.0
12,4.9,4,10.0,0.9974259999999996,0.0
13,14.4,7,5.0,0.9972279999999996,0.0
14,-15.7,9,5.0,0.9970299999999995,0.0
15,4.400000000000002,9,10.0,0.9968319999999995,0.0
16,-25.299999999999997,7,15.0,0.9966339999999995,0.0
17,-15.0,2,5.0,0.9964359999999994,0.0
18,-10.5,6,10.0,0.9962379999999994,0.0
19,-33.30000000000001,43,0.0,0.9960399999999994,1.9024263620376587
20,-20.1,4,15.0,0.9958419999999993,1.9194074869155884
21,-20.599999999999998,9,25.0,0.9956439999999993,1.904168963432312
22,-30.5,10,0.0,0.9954459999999993,1.9764611721038818
23,-66.70000000000002,29,0.0,0.9952479999999992,1.8159812688827515
24,-82.70000000000002,42,10.0,0.9950499999999992,1.617087483406067
25,-15.0,2,10.0,0.9948519999999992,1.6521209478378296
26,13.8,13,20.0,0.9946539999999991,1.673279881477356
27,-8.40000000000002,39,10.0,0.9944559999999991,1.0444074869155884
28,-0.8999999999999986,13,15.0,0.9942579999999991,0.9135974049568176
29,-51.500000000000014,24,5.0,0.994059999999999,1.019684910774231
30,-10.2,3,30.0,0.993861999999999,0.8272216320037842
31,10.0,2,10.0,0.993663999999999,0.9535573720932007
32,-10.0,1,10.0,0.993465999999999,1.1110808849334717
33,-10.3,4,15.0,0.9932679999999989,1.0662599802017212
34,-27.200000000000006,26,10.0,0.9930699999999989,0.779106855392456
35,-15.1,3,25.0,0.9928719999999989,0.8383179903030396
36,-35.4,10,10.0,0.9926739999999988,0.8147000074386597
