Episode,Reward,Length,Success_Rate,Epsilon,Loss
0,-26.400000000000002,18,25.0,0.999802,0.0
1,-11.400000000000002,20,0.0,0.9996039999999999,0.0
2,-0.09999999999999964,5,5.0,0.9994059999999999,0.0
3,-35.6,12,5.0,0.9992079999999999,0.0
4,-36.400000000000006,20,10.0,0.9990099999999998,0.0
5,15.0,1,10.0,0.9988119999999998,0.0
6,-26.5,19,15.0,0.9986139999999998,0.0
7,-20.699999999999996,10,15.0,0.9984159999999997,0.0
8,-10.900000000000006,15,10.0,0.9982179999999997,0.0
9,-15.4,6,0.0,0.9980199999999997,0.0
10,-6.200000000000006,17,10.0,0.9978219999999997,0.0
11,-42.60000000000003,33,20.0,0.9976239999999996,0.0
12,4.9,4,10.0,0.9974259999999996,0.0
13,14.4,7,5.0,0.9972279999999996,0.0
14,-15.7,9,5.0,0.9970299999999995,0.0
15,4.400000000000002,9,10.0,0.9968319999999995,0.0
16,-25.299999999999997,7,15.0,0.9966339999999995,0.0
17,-15.0,2,5.0,0.9964359999999994,0.0
18,-10.5,6,10.0,0.9962379999999994,0.0
19,-33.30000000000001,43,0.0,0.9960399999999994,1.9024263620376587
20,-20.1,4,15.0,0.9958419999999993,1.9194074869155884
21,-20.599999999999998,9,25.0,0.9956439999999993,1.904168963432312
22,-30.5,10,0.0,0.9954459999999993,1.9764611721038818
23,-66.70000000000002,29,0.0,0.9952479999999992,1.8159812688827515
24,-82.70000000000002,42,10.0,0.9950499999999992,1.617087483406067
25,-15.0,2,10.0,0.9948519999999992,1.6521209478378296
26,13.8,13,20.0,0.9946539999999991,1.673279881477356
27,-8.40000000000002,39,10.0,0.9944559999999991,1.0444074869155884
28,-0.8999999999999986,13,15.0,0.9942579999999991,0.9135974049568176
29,-51.500000000000014,24,5.0,0.994059999999999,1.019684910774231
30,-10.2,3,30.0,0.993861999999999,0.8272216320037842
31,10.0,2,10.0,0.993663999999999,0.9535573720932007
32,-10.0,1,10.0,0.993465999999999,1.1110808849334717
33,-10.3,4,15.0,0.9932679999999989,1.0662599802017212
34,-27.200000000000006,26,10.0,0.9930699999999989,0.779106855392456
35,-15.1,3,25.0,0.9928719999999989,0.8383179903030396
36,-35.4,10,10.0,0.9926739999999988,0.8147000074386597
37,-31.600000000000005,21,5.0,0.9924759999999988,0.7730659246444702
38,-45.50000000000001,13,5.0,0.9922779999999988,0.8747257590293884
39,-15.599999999999998,8,15.0,0.9920799999999987,0.8248798251152039
40,-47.50000000000002,38,30.0,0.9918819999999987,0.8223919868469238
41,-36.300000000000004,19,15.0,0.9916839999999987,0.7989051342010498
42,-101.89999999999995,38,15.0,0.9914859999999986,0.6149401068687439
43,-5.300000000000001,8,25.0,0.9912879999999986,0.762373149394989
44,-5.299999999999997,8,15.0,0.9910899999999986,0.8519759178161621
45,-171.69999999999965,100,0.0,0.9908919999999986,0.9194108247756958
46,-152.0999999999998,100,20.0,0.9906939999999985,0.7950296401977539
47,0.0,4,35.0,0.9904959999999985,0.6570128798484802
48,-31.000000000000007,20,20.0,0.9902979999999985,1.0067358016967773
49,-31.900000000000006,29,15.0,0.9900999999999984,0.9036074280738831
50,-27.200000000000017,31,15.0,0.9899019999999984,0.8728150725364685
51,-10.7,8,5.0,0.9897039999999984,0.9145623445510864
52,9.8,4,15.0,0.9895059999999983,0.689098060131073
53,10.0,2,5.0,0.9893079999999983,0.6754640340805054
54,-20.5,8,15.0,0.9891099999999983,0.683793842792511
55,-46.4,22,40.0,0.9889119999999982,0.8365746736526489
56,-15.5,7,10.0,0.9887139999999982,0.6767975687980652
57,-6.300000000000001,18,30.0,0.9885159999999982,0.5253693461418152
58,-20.9,12,30.0,0.9883179999999981,0.744604229927063
59,-35.5,11,15.0,0.9881199999999981,0.7664374113082886
60,-10.2,3,30.0,0.9879219999999981,0.9085115194320679
61,-10.2,3,15.0,0.987723999999998,0.856092095375061
62,-0.1999999999999993,6,35.0,0.987525999999998,0.6805768609046936
63,-16.500000000000014,22,35.0,0.987327999999998,1.1027374267578125
64,-91.99999999999997,37,25.0,0.987129999999998,0.9639323353767395
65,-10.1,2,35.0,0.9869319999999979,0.9441888928413391
66,-86.69999999999997,33,5.0,0.9867339999999979,0.7602531909942627
67,-10.0,1,25.0,0.9865359999999979,0.73499995470047
68,14.3,8,10.0,0.9863379999999978,0.8061362504959106
69,-10.0,1,15.0,0.9861399999999978,0.820920467376709
70,-15.4,6,10.0,0.9859419999999978,0.7347971796989441
71,-27.30000000000001,27,30.0,0.9857439999999977,0.7919811010360718
72,-10.0,1,20.0,0.9855459999999977,1.301851749420166
73,-143.79999999999998,65,20.0,0.9853479999999977,1.1332200765609741
74,14.3,8,20.0,0.9851499999999976,0.952387809753418
75,-15.5,7,10.0,0.9849519999999976,0.8877884149551392
76,-27.999999999999996,34,20.0,0.9847539999999976,0.8023602962493896
77,-35.2,8,20.0,0.9845559999999975,1.3071324825286865
78,-25.6,10,10.0,0.9843579999999975,0.9440639019012451
79,-30.400000000000006,9,20.0,0.9841599999999975,1.016534686088562
80,15.0,1,10.0,0.9839619999999974,1.0597459077835083
81,-31.600000000000005,21,20.0,0.9837639999999974,1.146479606628418
82,-10.0,1,10.0,0.9835659999999974,1.1765797138214111
83,14.2,9,5.0,0.9833679999999974,0.9233316779136658
84,-55.70000000000001,17,20.0,0.9831699999999973,1.0044348239898682
85,-10.3,4,20.0,0.9829719999999973,1.422351598739624
86,-15.400000000000006,11,20.0,0.9827739999999973,1.0332401990890503
87,-41.900000000000006,26,10.0,0.9825759999999972,1.0819673538208008
88,-41.5,22,20.0,0.9823779999999972,1.0022053718566895
89,-10.3,4,15.0,0.9821799999999972,0.9752199053764343
90,-10.600000000000001,12,30.0,0.9819819999999971,1.1927703619003296
91,9.8,4,15.0,0.9817839999999971,1.3285746574401855
92,-41.1,18,5.0,0.9815859999999971,1.1196397542953491
93,-43.80000000000002,45,20.0,0.981387999999997,1.4281556606292725
94,-35.0,6,10.0,0.981189999999997,1.0426983833312988
95,4.800000000000001,5,20.0,0.980991999999997,0.9094346165657043
96,14.4,7,10.0,0.980793999999997,1.1399013996124268
97,-41.099999999999994,23,10.0,0.9805959999999969,0.9103448987007141
98,15.0,1,10.0,0.9803979999999969,1.0232429504394531
99,-30.799999999999997,13,10.0,0.9801999999999969,1.1041126251220703
100,-20.7,10,10.0,0.9800019999999968,1.5402328968048096
101,-71.00000000000001,23,10.0,0.9798039999999968,1.0466667413711548
102,-36.10000000000001,22,10.0,0.9796059999999968,0.9718832969665527
103,-51.40000000000002,23,20.0,0.9794079999999967,1.0900118350982666
104,14.9,2,25.0,0.9792099999999967,1.2048076391220093
105,14.6,5,15.0,0.9790119999999967,1.0295177698135376
106,3.900000000000004,14,15.0,0.9788139999999966,1.178802251815796
107,-41.30000000000001,20,10.0,0.9786159999999966,1.3277003765106201
108,-30.4,9,20.0,0.9784179999999966,0.9019191265106201
109,-35.900000000000006,15,15.0,0.9782199999999965,0.7621814608573914
110,4.800000000000001,5,25.0,0.9780219999999965,1.1201577186584473
111,-41.60000000000001,23,20.0,0.9778239999999965,1.8766497373580933
112,-68.30000000000004,45,25.0,0.9776259999999964,1.4170677661895752
113,-12.90000000000002,35,20.0,0.9774279999999964,1.1392381191253662
114,-10.1,2,20.0,0.9772299999999964,1.428553819656372
115,15.0,1,10.0,0.9770319999999963,1.4432321786880493
116,-27.100000000000016,30,5.0,0.9768339999999963,0.8828069567680359
117,-10.2,3,20.0,0.9766359999999963,1.1110241413116455
118,-52.90000000000003,38,20.0,0.9764379999999963,1.058089017868042
119,-92.69999999999995,49,15.0,0.9762399999999962,1.1684179306030273
120,-15.900000000000006,16,10.0,0.9760419999999962,0.865164041519165
121,-15.2,4,10.0,0.9758439999999962,1.688703179359436
122,-15.2,4,15.0,0.9756459999999961,0.7981714606285095
123,-25.799999999999997,12,20.0,0.9754479999999961,1.205613613128662
124,-10.1,2,10.0,0.9752499999999961,0.8991177678108215
125,-20.4,7,5.0,0.975051999999996,1.0720266103744507
126,-1.7999999999999972,22,35.0,0.974853999999996,1.1004185676574707
127,-10.4,5,10.0,0.974655999999996,0.968259334564209
128,15.0,1,10.0,0.9744579999999959,1.075840950012207
129,14.8,3,15.0,0.9742599999999959,0.7018806338310242
130,-35.70000000000001,18,15.0,0.9740619999999959,1.5107306241989136
131,-10.4,5,10.0,0.9738639999999958,1.4208874702453613
132,-26.799999999999997,22,25.0,0.9736659999999958,1.549176573753357
133,-20.799999999999997,11,30.0,0.9734679999999958,1.2379344701766968
134,-22.10000000000001,29,30.0,0.9732699999999957,1.2999699115753174
135,-10.2,3,35.0,0.9730719999999957,1.550832748413086
136,-30.70000000000001,17,10.0,0.9728739999999957,1.15663743019104
137,-10.6,7,25.0,0.9726759999999957,1.3535962104797363
138,-77.69999999999996,46,20.0,0.9724779999999956,1.4761297702789307
139,15.0,1,15.0,0.9722799999999956,1.2069729566574097
140,14.4,7,35.0,0.9720819999999956,1.4406824111938477
141,-5.9999999999999964,15,20.0,0.9718839999999955,1.4065042734146118
142,-15.0,2,20.0,0.9716859999999955,1.3844536542892456
143,4.0,13,20.0,0.9714879999999955,0.9166882634162903
144,-47.30000000000001,31,25.0,0.9712899999999954,1.784600019454956
