Year,Algo,Reward,GDP,Annual_CO2,Support,Investment,Risk,Atm_CO2,Temperature,Tax,GreenSub,CapStrict,IndSub,MixFund
17,PPO,111.45586550747674,131.0988252586284,41.1427778912708,100.0,100.0,17.500909299404253,390.13267628077983,0.9993820835663134,0.0,1.0,0.0,1.0,0.0
18,PPO,118.22335110626038,133.6529793200194,36.992777891270805,100.0,100.0,17.18425161244106,386.9823151753434,0.999301004745336,0.0,1.0,0.0,1.0,0.0
19,PPO,124.6336438001042,135.84576619555816,32.842777891270806,100.0,100.0,16.846722520915794,383.6244540699069,0.9992138556962551,0.0,1.0,0.0,1.0,0.0
20,PPO,131.18210402877182,138.17254570846006,28.692777891270808,100.0,100.0,16.488318942087222,380.05909296447044,0.9991204822820089,0.0,1.0,0.0,1.0,0.0
21,PPO,137.08725139331264,140.40636295991044,25.096747152321033,100.0,100.0,16.111822071383823,376.3139303220865,0.9990214519587587,0.0,0.86651343,0.0,1.0,0.0
22,PPO,143.1507425288669,142.94160819000655,21.647272579185657,100.0,100.0,15.717965409769851,372.3962939510458,0.9989168007332636,0.0,0.8311987,0.0,1.0,0.0
23,PPO,147.51792061530463,145.5793555613062,20.0,100.0,100.0,15.307174730007809,368.31045193670883,0.9988064768168463,0.0,0.8106296,0.0,1.0,0.0
24,PPO,150.39082302209516,148.3684575241628,20.0,100.0,100.0,14.888172510338174,364.1431878170241,0.9986926864317881,0.0,0.80609214,0.0,1.0,0.0
25,PPO,152.42648754489448,150.32021275258413,20.0,100.0,100.0,14.468626038448253,359.9707717478145,0.99857744318334,0.0,0.8309208,0.0,1.0,0.0
26,PPO,154.8648358322176,152.67447546737344,20.0,100.0,100.0,14.048198175779113,355.78985825671447,0.9984606175053834,0.0,0.87187225,0.0,1.0,0.0
27,PPO,157.44427460883927,155.16971261373612,20.0,100.0,100.0,13.627190024484278,351.6034493329991,0.9983422545592184,0.0,0.89835626,0.0,1.0,0.0
28,PPO,159.9233481599989,157.56481024811671,20.0,100.0,100.0,13.207310440589072,350.0,0.998222804931819,0.0,0.84292006,0.0,1.0,0.0
29,PPO,162.7448342861648,160.35434294792765,20.0,100.0,100.0,13.047543308814294,350.0,0.9981769782836202,0.0,0.77090394,0.0,1.0,0.0
30,PPO,165.0688263246209,162.67834734576135,20.0,100.0,100.0,13.047605105702353,350.0,0.9981769960494972,0.0,0.7679429,0.0,1.0,0.0
31,PPO,166.8662918934908,164.4754582000953,20.0,100.0,100.0,13.045831533022518,350.0,0.9981764861557779,0.0,0.8529248,0.0,1.0,0.0
32,PPO,168.7473895975063,166.35630859654538,20.0,100.0,100.0,13.044594995195354,350.0,0.9981761306417329,0.0,0.91217434,0.0,1.0,0.0
33,PPO,170.9120085942847,168.52082148891319,20.0,100.0,100.0,13.044064473142324,350.0,0.9981759781087488,0.0,0.93759465,0.0,1.0,0.0
34,PPO,172.99973303127163,170.60851528816957,20.0,100.0,100.0,13.043911284489683,350.0,0.9981759340643015,0.0,0.9449348,0.0,1.0,0.0
35,PPO,175.52340112025516,173.13217813390574,20.0,100.0,100.0,13.043885068252973,350.0,0.9981759265266503,0.0,0.94619095,0.0,1.0,0.0
36,PPO,178.11715048520696,175.72592579265634,20.0,100.0,100.0,13.043876537246952,350.0,0.9981759240738277,0.0,0.9465997,0.0,1.0,0.0
37,PPO,180.74262370673597,178.35139625983226,20.0,100.0,100.0,13.043862765481446,350.0,0.9981759201141881,0.0,0.9472596,0.0,1.0,0.0
