Year,Algo,Reward,GDP,Annual_CO2,Support,Investment,Risk,Atm_CO2,Temperature,Tax,GreenSub,CapStrict,IndSub,MixFund
20,SAC,65.65971322208068,120.506501848785,69.40453707128763,86.39475892741723,32.43473654985428,18.19815509562652,397.06988340885937,0.9995583377370293,0.017758816,0.016069233,0.07499465,0.5353506,0.24299851
21,SAC,68.00694207593997,121.76251446320006,68.47974798798562,86.66425457534403,32.70408949255943,18.0397584347324,395.49387080825863,0.9995185676953268,0.017259985,0.015974194,0.06375548,0.497254,0.18948197
22,SAC,70.17908954503727,122.7854013675927,67.53792042732239,87.0138674293023,32.94205451011658,17.876625549420876,393.87076682962476,0.99947744332292,0.016302854,0.015859634,0.056230724,0.4307343,0.15866685
23,SAC,72.61241346441535,123.5036269159219,66.59592382192612,88.49292284799404,33.15408730506897,17.708755267887195,392.20056302072106,0.9994349482907544,0.015576005,0.015773594,0.049942195,0.38045776,0.13316482
24,SAC,74.52013170108313,124.48602143572705,65.75052797913551,88.58392958158933,33.33761823177338,17.536632731515382,390.48808941967786,0.9993911894773798,0.015224516,0.015518099,0.043995976,0.3612939,0.10594043
25,SAC,76.21188098614286,125.41974350949371,64.82480262637138,88.177821769703,33.50454807281494,17.359853909154864,388.72932955099645,0.9993460477027609,0.0143686235,0.015317708,0.040258616,0.3034426,0.0903413
26,SAC,77.34596469085609,125.39073097485611,63.78004550784826,88.3416865304846,33.66409310698509,17.177820206970278,386.91833182638885,0.9992993512165698,0.013712347,0.015306205,0.038059264,0.24839824,0.08301401
27,SAC,79.30233952171716,126.15999443322282,62.746791398823255,88.574508582859,33.81587737798691,16.99058902055956,385.05567139633,0.999251094046328,0.013572961,0.015238911,0.036232084,0.23861039,0.07558972
28,SAC,80.75081816211654,126.15159098835974,61.62717659264803,89.17189787674657,33.96365928649902,16.797725859842306,383.1370302259624,0.9992011418623032,0.013250649,0.015073836,0.03447935,0.20152664,0.07241273
29,SAC,81.923988705904,126.10554165642512,60.51350842863321,89.30361500713431,34.10390484333038,16.59926012727538,381.1627056473941,0.9991494781267984,0.013167322,0.014829248,0.032666683,0.19116688,0.066099316
30,SAC,83.4894301857837,126.17183844425662,59.396703858375545,89.98666142027349,34.24048325419426,16.395175551170574,379.13254084031286,0.9990960733569646,0.013103813,0.0147842765,0.03139779,0.18332678,0.06265703
31,SAC,85.21867588933647,126.59742672567863,58.306374024450776,90.32948824648231,34.37013056874275,16.185604675662756,377.0478595415354,0.9990409360754609,0.013169259,0.01466012,0.029588908,0.18017608,0.056346714
32,SAC,86.8310902894722,127.19102981141938,57.18778415203094,90.04385122121124,34.49585220217705,15.970404902609292,374.90724874913695,0.9989840013847798,0.013208717,0.014651537,0.028227419,0.1632731,0.05246395
33,SAC,89.18958871739298,127.90581535921933,55.999037130475045,90.86531017001818,34.62160140275955,15.749222981802003,372.7072006056607,0.9989251460617966,0.01312992,0.014807016,0.02728653,0.13768578,0.051714122
34,SAC,90.80938394802591,128.1187323412493,54.80590850412846,91.20193471931246,34.74648332595825,15.522036243755853,370.4474960308671,0.998864332033457,0.013600647,0.014851928,0.026324987,0.1344555,0.050622284
35,SAC,91.91609884916983,128.11103989340364,53.62155762672425,90.96878842087283,34.87287658452988,15.288888139729984,368.1285739122033,0.9988015374254827,0.0141094625,0.015004516,0.025723487,0.13926029,0.05137068
36,SAC,93.99703546275292,128.4546399526983,52.45127913892269,92.00728878317837,35.00146859884262,15.049848713059312,365.75113786914943,0.9987367463072184,0.014744669,0.015140355,0.024832964,0.1463399,0.05289024
37,SAC,96.51567673006053,129.1808319876317,51.28131428897381,93.1542855874841,35.131341218948364,14.804918811696943,363.31520358359813,0.9986699226668565,0.015128791,0.015375972,0.024801403,0.1488781,0.05299276
38,SAC,98.30182023181584,129.74253663033636,50.1193444660306,93.17891128278727,35.26325961947441,14.554137869417772,360.82117080689966,0.9986010394363903,0.016067863,0.015524715,0.024171293,0.15499455,0.054294825
39,SAC,99.35468353745298,129.65443988746975,48.858521878123284,92.83633428384867,35.4254929125309,14.297008069089127,358.26409690080584,0.9985299189504272,0.017782927,0.018481135,0.024314463,0.15213016,0.069827616
40,SAC,101.01069038524194,130.13747352033792,47.42220486998558,92.20390191444946,35.64816850423813,14.032646111675614,355.6352071443051,0.998456269862255,0.024307132,0.022508234,0.02761072,0.17680907,0.11013442
41,SAC,103.35733906078106,129.88512269761992,45.556966796815395,93.56192399568859,35.98786303400993,13.758894189338731,352.9130554841459,0.9983794320462072,0.04380101,0.026384026,0.034306526,0.22942993,0.2077744
42,SAC,105.91484764685569,130.20401163192307,43.69073435544968,94.1934391032612,36.40286281704903,13.475745906241471,350.09759220191836,0.9982993343024817,0.06544742,0.028237224,0.037270218,0.37496775,0.27381366
43,SAC,108.94190853977541,130.819216317322,41.38408696502447,94.28595238303664,36.9646837413311,13.180985020202257,350.0,0.998215268259265,0.11305651,0.030886948,0.043241262,0.5265516,0.40738618
44,SAC,112.60256085565429,131.43206439226603,38.70512052774429,95.01431299614067,37.58424237370491,13.157697534688927,350.0,0.9982085966025104,0.16456637,0.030199349,0.04522997,0.5976146,0.4685619
45,SAC,115.79900510094254,131.60975615981894,35.67719881117344,94.98988375690672,38.206922352313995,13.142470630781641,350.0,0.9982042318362888,0.22325408,0.025170833,0.054802835,0.6614066,0.4968258
46,SAC,120.7335913314231,131.73515679401856,31.93255197584629,97.1114287806175,39.13634777069092,13.123639385289618,350.0,0.9981988312705192,0.16365403,0.028348863,0.056932747,0.71031654,0.7876811
47,SAC,125.77375929987119,132.02016330102848,28.398697408735753,99.54693406625472,40.340666741132736,13.105868127744461,350.0,0.998193732035039,0.06191078,0.045208305,0.041006655,0.82327545,0.97827744
48,SAC,131.3086735190102,128.9202236926089,20.0,100.0,44.08029869198799,13.057750867993452,350.0,0.9981799124111641,0.039627194,0.54826164,0.2692169,0.110691786,0.99832374
49,SAC,125.82432805937032,123.42256325011515,20.0,100.0,49.78499582409859,12.991175953724227,350.0,0.9981607602504265,0.09656498,0.9414723,0.5799484,0.019969583,0.9973357
50,SAC,122.78522374465871,120.3898170985076,20.0,100.0,52.743824273347855,13.022966769244508,350.0,0.9981699103290207,0.011957884,0.39330244,0.1271537,0.042492956,0.99231625
